Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
1790,Lund_01348,Estate,Building,Property,Mansion,Palace,House,Official residence,Manor house,Stately home,Architecture,[T T VT VT 01 A,Larysa Rehab, May 2017
1793,Lund_01247,Property,House,Building,Home,Roof,Cottage,Architecture,Real estate,Estate,Farmhouse,Coop Konsum,J  Janus sobrzezeje, May 2018
1795,Lund_01687,Building,Architecture,Landmark,Property,Town,Human settlement,City,Tree,Estate,Mixed-use,University Library,6 IR DL, May 2004
1798,Lund_01068,Medieval architecture,Building,Castle,Historic site,Architecture,Château,Fortification,Palace,Stately home,Facade,"[T, T o1 T T T",(Rt N Y EY CY:TTEY, May 2017
1799,Lund_02460,Plain,Grassland,Sky,Natural environment,Field,Daytime,Land lot,Prairie,Steppe,Pasture,Klosteréingshdjden,@ ) Banne Rumengal, May 2018
1803,Lund_00085,Water,Landmark,Sky,Architecture,Grass,Tree,Public space,Building,Estate,Fountain,[T 8,a Diana Picus, May 2017
1807,Lund_02207,Bridge,Daytime,Water,River,Waterway,Boardwalk,Road,Walkway,Architecture,Infrastructure,Rabysjon och Raby s,Erik Brattkull, May 2018
1813,Lund_02425,Roof,Residential area,Town,Neighbourhood,Urban area,City,Human settlement,Suburb,Building,Metropolitan area,LT ELLER BT,"g R oo,", May 2016
1814,Lund_00120,Sky,Spire,Landmark,Architecture,Church,Building,Place of worship,Parish,Steeple,Cathedral,@ Sumeet Ranjan S,@ Sumeet Ranjan S, May 2017
1820,Lund_02060,Body of water,Water resources,Natural landscape,Water,Nature,Bank,Pond,River,Natural environment,Reservoir,Stadsparken,Q Peter Nordensva, May 2018
1822,Lund_01222,Garden,Botanical garden,Botany,Tree,Grass,Spring,Shrub,Plant,Walkway,Park,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018
1825,Lund_01003,Landmark,Architecture,Classical architecture,Building,Facade,Palace,Sky,City,Seat of local government,House,Lundagérd,A Anneliese Wacke, May 2017
1827,Lund_01541,Building,Architecture,Tree,House,Estate,Grass,Church,Medieval architecture,History,Historic house,Stadsparken 3,loana Pavel, May 2017
1837,Lund_00702,Botanical garden,Garden,Property,Mansion,Building,Estate,Botany,Flower,Spring,Plant,Lundagérd,'v Rafael Schwartz, May 2018
1839,Lund_02478,Freshwater marsh,Marsh,Natural landscape,Natural environment,Wetland,Fen,Grassland,Pasture,Nature reserve,Salt marsh,Nobbel6vs mosse,M Maria Tracz, May 2018
1840,Lund_01306,Grass,Public space,Natural landscape,Walkway,Daytime,Tree,Road,Lawn,Land lot,Park,LRI EL Y T,5‘3.‘..@ LU G, May 2016
1845,Lund_02026,Garden,Botanical garden,Botany,Tree,Grass,Park,Lawn,Shrub,Walkway,Plant,Stadsparken,v‘\ﬁv;‘; Aktham Yousef, May 2018
1846,Lund_02078,Garden,Botanical garden,Natural landscape,Tree,Botany,Park,Spring,Estate,Plant,Grass,Stadsparken,% William Térneber, May 2018
1859,Lund_00656,Medieval architecture,Landmark,Building,Architecture,Classical architecture,Historic site,Facade,Byzantine architecture,Place of worship,Church,Lund Cathedral,@ Andreas Schaller, May 2016
1860,Lund_00566,Building,Landmark,Property,Architecture,Mansion,Classical architecture,Estate,Palace,Tree,House,Lundagérd,'v Rafael Schwartz, May 2018
1871,Lund_00290,Landmark,Building,Castle,Architecture,Estate,Tree,Grass,Sky,Spring,Medieval architecture,Lundagérd =,% Vesna Fati¢, May 2017
